Test Iteration,Matching,Percentage
0,300,1.0
1,300,1.0
2,300,1.0
3,300,1.0
4,300,1.0
5,300,1.0
6,300,1.0
7,300,1.0
8,300,1.0
9,300,1.0
10,300,1.0
11,300,1.0
12,300,1.0
13,300,1.0
14,300,1.0
15,300,1.0
16,300,1.0
17,300,1.0
18,300,1.0
19,300,1.0
20,300,1.0
21,300,1.0
22,300,1.0
23,300,1.0
24,300,1.0
25,300,1.0
26,300,1.0
27,300,1.0
28,300,1.0
29,300,1.0
30,300,1.0
31,300,1.0
32,300,1.0
33,300,1.0
34,300,1.0
35,300,1.0
36,300,1.0
37,300,1.0
38,300,1.0
39,300,1.0
40,300,1.0
41,300,1.0
42,300,1.0
43,300,1.0
44,300,1.0
45,300,1.0
46,300,1.0
47,300,1.0
48,300,1.0
49,300,1.0
50,300,1.0
51,300,1.0
52,300,1.0
53,300,1.0
54,300,1.0
55,300,1.0
56,300,1.0
57,300,1.0
58,300,1.0
59,300,1.0
60,300,1.0
61,300,1.0
62,300,1.0
63,300,1.0
64,300,1.0
65,300,1.0
66,300,1.0
67,300,1.0
68,300,1.0
69,300,1.0
70,300,1.0
71,300,1.0
72,300,1.0
73,300,1.0
74,300,1.0
75,300,1.0
76,300,1.0
77,300,1.0
78,300,1.0
79,300,1.0
80,300,1.0
81,300,1.0
82,300,1.0
83,300,1.0
84,300,1.0
85,300,1.0
86,300,1.0
87,300,1.0
88,300,1.0
89,300,1.0
90,300,1.0
91,300,1.0
92,300,1.0
93,300,1.0
94,300,1.0
95,300,1.0
96,300,1.0
97,300,1.0
98,300,1.0
99,300,1.0
100,300,1.0
101,300,1.0
102,300,1.0
103,300,1.0
104,300,1.0
105,300,1.0
106,300,1.0
107,300,1.0
108,300,1.0
109,300,1.0
110,300,1.0
111,300,1.0
112,300,1.0
113,300,1.0
114,300,1.0
115,300,1.0
116,300,1.0
117,300,1.0
118,300,1.0
119,300,1.0
120,300,1.0
121,300,1.0
122,300,1.0
123,300,1.0
124,300,1.0
125,300,1.0
126,300,1.0
127,300,1.0
128,300,1.0
129,257,0.8566666666666667
130,254,0.8466666666666667
131,258,0.86
132,273,0.91
133,258,0.86
134,258,0.86
135,254,0.8466666666666667
136,273,0.91
137,257,0.8566666666666667
138,273,0.91
139,258,0.86
140,273,0.91
141,257,0.8566666666666667
142,254,0.8466666666666667
143,278,0.9266666666666666
144,273,0.91
145,254,0.8466666666666667
